id,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,SEMAFORO,NUM_SEMAFORO,GROUP
3015,72.665,218.085,152.78,24000,11000,10,Rojo,2,0
3016,48.3,186.5,193.33,24000,4600,37.8,Rojo,2,0
3017,103.3,218.81,52.73,24000,4600,10,Rojo,2,0
3018,53.165,184.79,246.75,17500,3500,19,Rojo,2,0
3019,46.39,158.24,115.15,24000,11000,10,Rojo,2,0
3020,47.5,131.27,136.875,24000,11000,12.4,Rojo,2,0
3021,27.335,157.75,72.75,24000,695,34,Rojo,2,0
3022,35,145.45,82.405,24000,4600,33.1,Rojo,2,0
3023,5.91,33.815,21,24000,4600,54,Amarillo,1,0
3025,2,10,10,1051.5,87.5,79.735,Amarillo,1,2
3026,7.5,27.865,60,17500,11000,98.4,Amarillo,1,0
3027,2,14.12,46,4600,210,74.8,Amarillo,1,2
3030,2,10,10,1100,137.5,89.785,Amarillo,1,2
3036,4.885,76.625,43.33,24196,25,97.65,Rojo,2,0
3038,5.81,82.416,10,2310,243,31.37,Rojo,2,2
3042,7.05,67.91,39,210,175,66,Rojo,2,2
3044,7.885,60.48,28,93,40,51.5,Rojo,2,2
3050,3,14.88,34,70,70,59.05,Verde,3,2
3051,2.83,14.16,28,145,125,61.3,Verde,3,2
3052,3.48,20.32,20,70,70,54.49,Verde,3,2
3053,2.725,18.88,32,93,93,55.36,Verde,3,2
3054,2.5,28.44,42,45.75,45.75,56.8,Verde,3,2
3058,2,17.365,15.25,2359,121.5,85,Amarillo,1,2
3059,3.2883,29.8832,17.08335,2656.5,473,72.9,Amarillo,1,2
3060,2,10,11.5,2613,31,124.4,Amarillo,1,2
3061,2.94,18.3288,13.81875,3255,110,105.05,Amarillo,1,2
3062,2,10,10,1086,52,72.6,Amarillo,1,2
3063,2,44.13,10,1106,150.5,95.7,Rojo,2,2
3064,2,30.425,75,12997,52,69.95,Amarillo,1,0
3065,13.59,46.56,38,17500,17500,61.9,Rojo,2,0
3066,2,21.844,10,1031.5,10,59,Amarillo,1,2
3067,20,82,83,220,70,63.7,Rojo,2,2
3068,17.5,64,40,11000,4600,36.4,Rojo,2,0
3069,8,70,40,11000,11000,90.35,Rojo,2,0
3070,17,62,57,11000,2400,45.95,Rojo,2,0
3071,7.58,44.14,69.0715,2924,91.5,52.65,Rojo,2,2
3072,2,26.094,35,1274,31,90.15,Amarillo,1,2
3073,2,20.43,44,11247.5,103,99.45,Amarillo,1,0
3074,3.21,38.765,167.5,2400,240,61.2,Amarillo,1,2
3075,16,63,16,4600,4600,85.8,Rojo,2,2
3076,2,27.67,125,1500,390,83,Amarillo,1,2
3077,2,22.13,161.285,2400,930,86.75,Amarillo,1,2
3078,2,16.39,10,1155,20,101.2,Rojo,2,2
3079,2,18.81,74,455,20,93.2,Verde,3,2
3080,4.56,40.83,10.5,24196,3873,81.4,Rojo,2,0
3081,5.94,35.08,40,24196,19863,88.55,Amarillo,1,0
3082,2,31.745,27,20762.5,154,88.8,Amarillo,1,0
3083,5.7,33.936,47,19863,119,106.3,Amarillo,1,0
3086,2,17.175,14,2100,150,102.65,Amarillo,1,2
3087,2.645,33.551,10,151.5,29,92.05,Verde,3,2
3088,2,10.99,43.08,5475,110,99.7,Rojo,2,2
3089,17.9,56.545,23,24196,24196,59.75,Rojo,2,1
3090,2,16.88,46.4286,5794,345,71.05,Amarillo,1,2
3091,2,17.39,10,1789,63,94.2,Amarillo,1,2
3092,2,12.042,10,2046,62,84.5,Amarillo,1,2
3093,2,17.8112,20.5,2613,272,87.8,Amarillo,1,2
3094,2,15.23,24,2481,238,92.1,Amarillo,1,2
3095,2,11.9034,16.5,2098,315,90.25,Amarillo,1,2
3096,2,14.78,10,2359,85,93.7,Amarillo,1,2
3097,2.65,13.16,10,1989,31,92.6,Amarillo,1,2
3098,2,16.4,35,4140,379,83.9,Amarillo,1,2
3099,2,13.5,16.5,3448,384,87.8,Amarillo,1,2
3100,16.665,89.64,70.5,24000,6950,37.5,Rojo,2,0
3101,2,10,10,460,460,83.1,Verde,3,2
3102,4.2,22.05,16,430,430,89.9,Verde,3,2
3103,2,10,10,59,41.5,85.9,Verde,3,2
3104,2,10.82,10,430,230,102.7,Verde,3,2
3105,2,15,13,90,43,95.1,Verde,3,2
3106,2.005,12.239,10,90,90,72,Verde,3,2
3107,4.2,21.675,30,210,210,73.1,Verde,3,2
3108,260,653.94,136.36,24000,24000,10,Rojo,2,1
3109,2,18.75,10,680,330,69,Verde,3,2
3110,3.33,14.4,16,840,840,61.245,Verde,3,2
3111,2,25.9718,13.415,6309.5,528.5,101.35,Amarillo,1,2
3112,2,17.955,87.5,9804,1789,91.85,Amarillo,1,0
3113,2,30.65,52,17329,449,98.7,Amarillo,1,0
3114,2,16.852,17.5625,24196,24196,84.65,Rojo,2,1
3115,2,25.6608,25,12033,213,103.1,Amarillo,1,0
3116,6.58,47.64,63.335,24196,24196,73.65,Rojo,2,1
3117,6.72,46.41,64,24196,21870,67.6,Rojo,2,1
3118,5.44,43,43,24196,21166.5,99.5,Rojo,2,0
3119,6.02,50.17,52.93,21726.5,1223,61.8,Rojo,2,0
